(Unisex) Polyester Gabardine Garment Treated,12,0,"1,350,000",0,남녀 모두 착용할 수 있는 제품입니다. 블랙 꼼데가르송 라인으로, 모노톤 위주의 컬러로 전개하여 무난하면서도 세련된 착장을 완성할 수 있습니다. 합리적인 가격대에 꼼데가르송의 아이덴티티를 느낄 수 있는 아이템입니다.Black,"겉감 : 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/09/04/GM0024090410766_0_THNAIL_ORGINL_20240910190532322.jpg,XS/S/M/L/XL/F(XXL),사이즈/XS/S/M/L/XL/F(XXL)&어깨너비/35/37.5/40/42.5/45/47.5&가슴둘레/96/100/104/108/112/116&소매길이/57.5/60/62.5/65/67.5/70&총장/65/66.5/68/69.5/71/72.5,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Baisic Wool Jacket,12,0,"1,350,000",0,울 소재로 제작된 재킷입니다. 두께감이 적당해 여러 계절에 활용할 수 있습니다. 살짝 넉넉한 핏으로 착용감이 편안하며, 단정한 칼라와 베이직한 실루엣이 돋보이는 아이템입니다. 같은 소재의 하의와 매치하면 꼼데가르송의 유니폼 룩을 완성할 수 있습니다.Black,"겉감: 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/30/GM0024083096300_0_THNAIL_ORGINL_20240905115419612.jpg,XS/S/M,사이즈/XS/S/M&어깨너비/37.8/39/40.2&가슴둘레/93/98/103&소매길이/59/60/61&총장/59/60.5/62,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Wool Open Front Jacket,12,0,"1,580,000",0,울 소재로 제작된 재킷입니다. 두께감이 적당해 여러 계절에 활용할 수 있습니다. 살짝 길게 내려온 라펠 옷깃과 사선으로 오픈되는 여밈 라인이 돋보입니다. 다양한 이너를 레이어드해 유니크한 스타일을 완성할 수 있습니다. 베이직한 소재와 컬러로 어떤 하의에나 부담 없이 매치가 가능합니다.Black,"겉감: 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/30/GM0024083096299_0_THNAIL_ORGINL_20240905115417522.jpg,XS/S/M,사이즈/XS/S/M&어깨너비/37.6/38.8/40&가슴둘레/94/99/104&소매길이/58/59/60&총장/54/55.5/57,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Ribbon Detail Acetate Trucker Jacket,12,0,"1,230,000",0,아세테이트 소재로 제작된 트러커 재킷입니다. 은은한 광택이 있는 소재의 느낌이 독특하며, 가슴 부분의 리본 디테일이 브랜드 특유의 사랑스러움을 표현합니다. 허리까지 오는 기장으로 허리선이 높은 하의나 드레스 등과 매치해 경쾌한 룩을 연출할 수 있습니다.Black,"겉감: 아세테이트 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/30/GM0024083096302_0_THNAIL_ORGINL_20240905115421462.jpg,XS/S/M,사이즈/XS/S/M&어깨너비/38.3/39.5/40.7&가슴둘레/93/98/103&소매길이/57.5/58.5/59.5&총장/42.5/44/45.5,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Logo Printed Coach Jacket (Double Logo),12,0,"198,000",0,CDGCDGCDG의 대표 아이템인 코치자켓의 로고를 앞뒤로 재구성하여 더욱 스타일리쉬하게 풀어낸 제품입니다. 내구성과 방풍성을 갖춘 나일론으로 제작되어 가볍고 편안한 착용감을 제공하며, 스냅 버튼으로 쉽게 여닫을 수 있어서 일상생활을 포함한 다양한 활동시 유용하게 활용할 수 있습니다.Black,"겉감: 나일론 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/07/31/GM0024073158436_0_THNAIL_ORGINL_20240801161240792.jpg,S/M/L/XL/F(XXL),사이즈/S/M/L/XL/F(XXL)&어깨너비/44/45/56/47/48&가슴둘레/104/106/108/110/112&소매길이/60/61/62/63/64&총장/66/67/68/69/70,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Gingham Check Wool Jacket,12,0,"1,280,000",0,울 소재로 제작된 깅엄 체크 패턴의 재킷입니다. 넉넉한 실루엣, 칼라 없이 마무리된 넥 라인이 차분하고 여성스러운 무드를 연출합니다. 같은 소재로 제작된 스커트와 매치해 사랑스러운 스쿨룩을 완성할 수 있습니다.Grey,"겉감: 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/06/GM0024080697088_0_THNAIL_ORGINL_20240809112454479.jpg,XS/S/M,사이즈/XS/S/M&어깨너비/36.8/38/39.2&가슴둘레/91/96/101&소매길이/57/58/59.5&총장/51/52.5/54,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Milano Wool Jacket,12,0,"1,280,000",0,밀라노 울 소재로 제작된 재킷입니다. 이번 시즌 새롭게 선보이는 제품으로, 부드럽고 유연한 울 소재와 여성스러운 실루엣이 어우러져 고급스러운 느낌을 줍니다. 같은 소재로 제작된 스커트, 팬츠 등과 매치해 단정하고 우아한 룩을 완성해 보세요.Black,"겉감: 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/06/GM0024080697085_0_THNAIL_ORGINL_20240809112448096.jpg,XS/S/M,사이즈/XS/S/M&어깨너비/37.3/38.5/39.7&가슴둘레/87/92/97&소매길이/58/59/60.5&총장/51/52.5/54,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Polyester Round Wide Collar Jacket,12,0,"1,380,000",0,폴리에스터 소재로 제작된 재킷입니다. 독특한 형태의 칼라와 아웃포켓 디테일로 포인트를 더했습니다. 실루엣을 잡아주는 탄탄한 소재로 제작되었으며 은은한 광택으로 고급스러운 느낌을 줍니다.Black,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/06/GM0024080697086_0_THNAIL_ORGINL_20240809112449539.jpg,XS/S/M,사이즈/XS/S/M&어깨너비/38.3/39.5/40.7&가슴둘레/95/100/105&소매길이/58/59/60.5&총장/53/55/56.5,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Polyester Basic Collar Jacket,12,0,"1,180,000",0,폴리에스터 소재로 제작된 재킷입니다. 베이직한 디자인의 재킷으로 어디에나 매치가 가능한 활용도 높은 아이템입니다. 실루엣을 잡아주는 탄탄한 소재로 제작되었으며, 은은한 광택으로 고급스러운 느낌을 선사합니다.Black,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/06/GM0024080697087_0_THNAIL_ORGINL_20240809112452587.jpg,XS/S/M,사이즈/XS/S/M&어깨너비/36.8/38/39.2&가슴둘레/85/90/95&소매길이/58/59/60.5&총장/58/59.5/61,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
84,12,0,"435,000",0,세련된 무드를 자아내는 블루종입니다. 1986년 컬렉션 공개 당시 브랜드 직원들이 팀복으로 착용했던 코트를 짧은 기장으로 재해석하여 만들어졌습니다. 기존의 아카이브 로고 디자인을 최대한 존중해 클래식한 멋을 더했습니다. 얇고 가벼운 큐프라 소재를 사용하여 하늘하늘하게 휘날리는 실루엣을 선사합니다. 다양한 착장과 함께 포인트가 되어주는 멋스러운 아이템입니다.85 Staff Blouson,"겉감 : 큐프라 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/07/31/GM0024073158435_0_THNAIL_ORGINL_20240801161239120.jpg,S/M/L/XL/F(XXL),사이즈/S/M/L/XL/F(XXL)&어깨너비/48/49/50/51/52&가슴둘레/120/122/124/126/128&소매길이/59/60/61/62/63&총장/62/63/64/65/66,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
