(Men) Nylon Twill,11,0,"1,480,000",0,튀지 않고 기본에 충실한 디자인으로 완성한 제품입니다. 브랜드만의 감각 있는 실루엣을 겸비한 아이템입니다. 활동하기 편안하면서도 실용적인 디테일을 추가해 더욱 만족도가 높습니다.Black,"겉감 : 나일론 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/09/04/GM0024090410776_0_THNAIL_ORGINL_20240910190538607.jpg,M/L/XL,사이즈/M/L/XL&어깨너비/53/55.5/58&가슴둘레/142/146/150&소매길이/58/60.5/63&총장/101/102.5/104,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Men) Wool Serge Check,11,0,"1,580,000",0,튀지 않고 기본에 충실한 디자인으로 완성한 제품입니다. 브랜드만의 감각 있는 실루엣을 겸비한 아이템입니다. 활동하기 편안하면서도 실용적인 디테일을 추가해 더욱 만족도가 높습니다.Navy,"겉감 : 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/09/04/GM0024090410777_0_THNAIL_ORGINL_20240910190540351.jpg,S/M/L/XL,사이즈/S/M/L/XL&가슴둘레/130/134/138/142&소매길이/81.5/84/86.5/89&총장/76/77.5/79/80.5,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Red Heart Wappen Zip,11,0,"315,000",0,PLAY의 시그니처 레드 하트 와펜이 넥라인 뒤쪽에 부착되어 위트를 더하는 후드 집업입니다. 신축성 있는 면 소재로 제작되어 편안하게 착용 가능하며, 환절기에 착용하기 좋은 두께입니다. 한 사이즈 정도 크게 선택하면 여유 있는 룩으로 연출할 수 있습니다. 같은 라인의 와펜 티셔츠나 프린트 티셔츠 등의 이너와 매치하거나 아우터와 레이어드하여 착용하기 좋습니다.up Hoodie,"겉감: 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/14/GM0024081414944_2_THNAIL_ORGINL_20240826190402448.jpg,,,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Logo Printed Coach Jacket (Double Logo),11,0,"198,000",0,CDGCDGCDG의 대표 아이템인 코치자켓의 로고를 앞뒤로 재구성하여 더욱 스타일리쉬하게 풀어낸 제품입니다. 내구성과 방풍성을 갖춘 나일론으로 제작되어 가볍고 편안한 착용감을 제공하며, 스냅 버튼으로 쉽게 여닫을 수 있어서 일상생활을 포함한 다양한 활동시 유용하게 활용할 수 있습니다.Black,"겉감: 나일론 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/07/31/GM0024073158436_0_THNAIL_ORGINL_20240801161240792.jpg,S/M/L/XL/F(XXL),사이즈/S/M/L/XL/F(XXL)&어깨너비/44/45/56/47/48&가슴둘레/104/106/108/110/112&소매길이/60/61/62/63/64&총장/66/67/68/69/70,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Red Heart Wappen Zip,11,0,"315,000",0,PLAY의 시그니처 레드 하트 와펜이 넥라인 뒤쪽에 부착되어 위트를 더하는 후드 집업입니다. 신축성 있는 면 소재로 제작되어 편안하게 착용 가능하며, 환절기에 착용하기 좋은 두께입니다. 한 사이즈 정도 크게 선택하면 여유 있는 룩으로 연출할 수 있습니다. 같은 라인의 와펜 티셔츠나 프린트 티셔츠 등의 이너와 매치하거나 아우터와 레이어드하여 착용하기 좋습니다.up Hoodie,"겉감: 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/14/GM0024081414946_2_THNAIL_ORGINL_20240826190403436.jpg,001/002/003/004/005/006/007,사이즈/001/002/003/004/005/006/007&어깨너비/42.5/45/47.5/50/52.5/55/57.5&가슴둘레/95.5/101/106.5/112/117.5/123/128.5&소매길이/57.2/59.5/60.7/62/63.2/63.7/64.5&등길이/59/62/65/68/71/74/77,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Black Heart Wappen Zip,11,0,"315,000",0,PLAY의 시그니처 블랙 하트 와펜이 넥라인 뒤쪽에 부착되어 위트를 더하는 후드 집업입니다. 신축성 있는 면 소재로 제작되어 편안하게 착용 가능하며, 환절기에 착용하기 좋은 두께입니다. 한 사이즈 정도 크게 선택하면 여유 있는 룩으로 연출할 수 있습니다. 같은 라인의 와펜 티셔츠나 프린트 티셔츠 등의 이너와 매치하거나 아우터와 레이어드하여 착용하기 좋습니다.up Hoodie,"겉감: 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/14/GM0024081414950_2_THNAIL_ORGINL_20240826190405449.jpg,001/002/003/004/005/006/007,사이즈/001/002/003/004/005/006/007&어깨너비/42.5/45/47.5/50/52.5/55/57.5&가슴둘레/95.5/101/106.5/112/117.5/123/128.5&소매길이/57.2/59.5/60.7/62/63.2/63.7/64.5&등길이/59/62/65/68/71/74/77,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Black Heart Wappen Zip,11,0,"315,000",0,PLAY의 시그니처 블랙 하트 와펜이 넥라인 뒤쪽에 부착되어 위트를 더하는 후드 집업입니다. 신축성 있는 면 소재로 제작되어 편안하게 착용 가능하며, 환절기에 착용하기 좋은 두께입니다. 한 사이즈 정도 크게 선택하면 여유 있는 룩으로 연출할 수 있습니다. 같은 라인의 와펜 티셔츠나 프린트 티셔츠 등의 이너와 매치하거나 아우터와 레이어드하여 착용하기 좋습니다.up Hoodie,"겉감: 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/14/GM0024081414948_2_THNAIL_ORGINL_20240826190404530.jpg,001/002/003/004/005/006/007,사이즈/001/002/003/004/005/006/007&어깨너비/42.5/45/47.5/50/52.5/55/57.5&가슴둘레/95.5/101/106.5/112/117.5/123/128.5&소매길이/57.2/59.5/60.7/62/63.2/63.7/64.5&등길이/59/62/65/68/71/74/77,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Red Heart Wappen Zip,11,0,"315,000",0,브랜드의 상징적인 레드 하트 와펜 디테일이 돋보이는 PLAY 라인의 후드 집업입니다. 신축성 있는 적당한 두께의 면 소재로 제작하여 간절기에 편안하게 착용하기 좋습니다. 한 사이즈 정도 크게 선택하여 여유 있는 룩을 연출할 수 있는 아이템입니다. 같은 라인의 와펜 티셔츠나 프린트 티셔츠와 함께 착용하거나 다양한 아우터와 레이어드하여 한층 멋스러운 룩을 완성할 수 있습니다.up Hoodie,"겉감 : 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/07/03/GM0024070367429_0_THNAIL_ORGINL_20240704160129398.jpg,000/001/002/003/004/005/006/007,사이즈/000/001/002/003/004/005/006/007&가슴둘레/90/95.5/101/106.5/112/117.5/123/128.5&어깨너비/40/42.5/45/47.5/50/52.5/55/57.5&소매길이/57/57.2/59.5/60.7/62/63.2/63.7/64.5,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Red Heart Wappen Zip,11,0,"315,000",0,PLAY의 시그니처 레드 하트 와펜이 넥라인 뒤쪽에 부착되어 위트를 더하는 후드 집업입니다. 신축성 있는 면 소재로 제작되어 편안하게 착용 가능하며, 환절기에 착용하기 좋은 두께입니다. 한 사이즈 정도 크게 선택하면 여유 있는 룩으로 연출할 수 있습니다. 같은 라인의 와펜 티셔츠나 프린트 티셔츠 등의 이너와 매치하거나 아우터와 레이어드하여 착용하기 좋습니다.up Hoodie,"겉감: 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/14/GM0024081414942_2_THNAIL_ORGINL_20240826190400644.jpg,001/002/003/004/005/006/007,사이즈/001/002/003/004/005/006/007&어깨너비/42.5/45/47.5/50/52.5/55/57.5&가슴둘레/95.5/101/106.5/112/117.5/123/128.5&소매길이/57.2/59.5/60.7/62/63.2/63.7/64.5&등길이/59/62/65/68/71/74/77,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) K,11,0,"355,000",0,PLAY Comme des Garcons 과 프랑스 아우터웨어 브랜드 K-WAY의 협업으로 탄생한 LEON HALF ZIP PACKABLE JACKET입니다. 레귤러 핏과 중간 길이의 디자인으로, 견고한 나일론 립스탑 100%로 제작되었습니다. K-WAY의 클래식하면서도 모던하고 기능적인 실루엣이 재킷의 가슴과 등 부분에 새겨진 PLAY의 하트 로고와 함께 더욱 특별하게 선보입니다. 뛰어난 통풍성을 보장하기 위한 플랩이 부착되어 있으며, 고무줄로 조절이 가능한 후드, 지퍼로 여닫는 포켓이 특징입니다. 재킷은 작게 접어 갤 수 있는 패커블 디자인으로, 허리 부분의 포켓에 접어 넣어 보관이 가능합니다. 유니섹스 상품으로, 기존에 PLAY 여성용 M 사이즈를 착용하시던 고객은 S 사이즈를, 여성용 L 사이즈를 착용하시는 고객은 M 사이즈를 추천드립니다. 남성 고객의 사이즈 선택은 기존 PLAY 상품과 동일하게 추천드립니다.Way Leon Half Zip Packable Anorak,"겉감: 나일론 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/06/GM0024080693475_0_THNAIL_ORGINL_20240808122300577.jpg,002/003/004/005/006/007,사이즈/002/003/004/005/006/007&가슴둘레/102/108/114/120/128/136&어깨넓이/84/87/90/93/96/97.5&소매길이/23/24/25/26/27/28&등길이/63/66/69/72/75/78,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
